ward_code,Ward,Local Authority,Labour vote change 2014-18percent,crimes2016q1,crimes2017q1,crimes2018q1,crime_change_q1_2017-18percent,totalcrimes2016,totalcrimes2017,totalcrimes2018,crime_change_2016-17percent
E05009401,Queen's Gate,Kensington and Chelsea,1.1,,,,,,,,
E05000595,Forest,Waltham Forest,15.4,221.0,459.0,407.0,-11.328976034858387,1451.0,1726.0,841.0,18.952446588559614
E05000044,Burnt Oak,Barnet,3.0,491.0,473.0,510.0,7.822410147991543,2248.0,2116.0,1117.0,-5.871886120996441
E05011113,Rye Lane,Southwark,66.9,,,,,,,,
E05000093,Kenton,Brent,4.4,176.0,185.0,189.0,2.1621621621621623,724.0,740.0,378.0,2.209944751381215
E05011485,South Norwood,Croydon,15.9,,,,,,,,
E05000046,Colindale,Barnet,3.1,487.0,486.0,534.0,9.876543209876543,2214.0,2294.0,1217.0,3.6133694670280034
E05000520,Hampton,Richmond upon Thames,-1.7,92.0,164.0,191.0,16.463414634146343,661.0,758.0,367.0,14.674735249621785
E05000196,Cockfosters,Enfield,1.5,159.0,209.0,317.0,51.674641148325364,894.0,1077.0,656.0,20.469798657718123
E05009323,Canary Wharf,Tower Hamlets,-2.7,,,,,,,,
E05000286,Canons,Harrow,-3.5,141.0,262.0,224.0,-14.50381679389313,890.0,1028.0,471.0,15.505617977528091
E05000212,Upper Edmonton,Enfield,1.4,412.0,725.0,790.0,8.96551724137931,2504.0,3186.0,1645.0,27.23642172523962
E05000295,Kenton West,Harrow,4.2,101.0,152.0,150.0,-1.3157894736842104,547.0,685.0,306.0,25.22851919561243
E05000301,Roxbourne,Harrow,12.8,143.0,240.0,240.0,0.0,960.0,1003.0,448.0,4.479166666666667
E05000492,Stratford and New Town,Newham,-29.6,1053.0,1980.0,2129.0,7.525252525252525,6970.0,8595.0,4290.0,23.3142037302726
E05000373,Highbury West,Islington,-1.9,362.0,710.0,629.0,-11.408450704225352,2172.0,2747.0,1271.0,26.473296500920814
E05000418,Clapham Common,Lambeth,7.8,201.0,346.0,345.0,-0.2890173410404624,1361.0,1513.0,726.0,11.168258633357825
E05000617,Latchmere,Wandsworth,12.7,236.0,325.0,440.0,35.38461538461539,1548.0,1579.0,915.0,2.0025839793281652
E05000188,South Acton,Ealing,4.9,314.0,522.0,605.0,15.900383141762454,2258.0,2365.0,1215.0,4.738706820194863
E05000442,Downham,Lewisham,27.1,253.0,443.0,379.0,-14.446952595936793,1485.0,1712.0,834.0,15.286195286195287
E05009332,Shadwell,Tower Hamlets,0.3,,,,,,,,
E05000289,Harrow on the Hill,Harrow,16.9,130.0,225.0,225.0,0.0,942.0,1005.0,516.0,6.687898089171974
E05000171,Cleveland,Ealing,4.4,125.0,260.0,243.0,-6.538461538461539,921.0,1164.0,525.0,26.384364820846905
E05000195,Chase,Enfield,7.1,198.0,290.0,294.0,1.3793103448275863,1228.0,1245.0,649.0,1.3843648208469055
E05000325,Botwell,Hillingdon,7.4,344.0,652.0,613.0,-5.98159509202454,2119.0,2570.0,1275.0,21.283624351109015
E05000140,Kilburn,Camden,12.0,361.0,555.0,642.0,15.675675675675677,2246.0,2522.0,1309.0,12.288512911843277
E05011251,Seven Kings,Redbridge,78.8,,,,,,,,
E05000431,Streatham South,Lambeth,2.2,224.0,353.0,395.0,11.89801699716714,1285.0,1522.0,828.0,18.443579766536967
